Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Utah,4.333286386,3.080716819,30.61469901,14.21861427,2.811619625,10.69229031,65.75122642
1991,Utah,4.40310801,3.415715774,29.08376619,13.52716343,3.195842682,10.86644951,64.4920456
1992,Utah,4.423116065,3.735839094,31.30871642,13.41703437,2.805871402,11.23762517,66.92820252
1993,Utah,4.757413597,3.780784128,31.95894289,14.17411874,3.152887211,11.61466756,69.43881413
1994,Utah,4.570936598,3.915046165,32.87244181,13.93287852,2.926791658,12.05314863,70.27124339
1995,Utah,4.787452279,3.844621296,30.97894728,15.23542447,2.952779652,13.2416009,71.04082588
1996,Utah,4.755788773,4.002442931,31.26069782,14.58120977,3.215693754,13.80053463,71.61636769
1997,Utah,5.205137337,3.940354984,32.26454948,15.23747691,3.486549475,14.4929457,74.62701389
1998,Utah,5.21469447,4.163705805,33.06775589,17.28227236,3.355061114,15.04239701,78.12588665
1999,Utah,4.83252615,3.724020568,33.81734762,15.11729073,3.351527078,15.53647809,76.37919023
2000,Utah,4.982159766,3.512334895,34.44529441,15.49500265,3.396039258,16.31548325,78.14631422
2001,Utah,4.90748754,4.077663244,33.87959306,14.43786197,3.412761838,15.6652961,76.38066375
2002,Utah,4.890721749,4.19620521,35.19650856,13.15520992,3.649150014,16.18834039,77.27613585
2003,Utah,4.971895623,3.54420294,36.27144178,13.80965002,3.33094136,16.47872184,78.40685357
2004,Utah,4.913447864,3.833853491,36.32366142,16.17773441,3.678861007,16.77912371,81.7066819
2005,Utah,5.046014806,3.939783375,36.97019627,17.21419911,3.486633975,16.94325452,83.60008206
2006,Utah,4.779878006,3.875937995,37.35719424,16.96831456,3.642973352,18.51323801,85.13753617
2007,Utah,4.909087342,3.966733828,39.21444468,16.40946387,3.656195787,18.37349048,86.52941599
2008,Utah,4.848090919,4.13041304,39.75320438,17.15109853,4.012884533,17.23906309,87.13475449
2009,Utah,4.799685143,4.177841671,36.78743285,15.52641692,3.914000023,16.32235291,81.52772951
2010,Utah,4.856899876,4.007212749,35.82058157,16.88674142,3.943582556,15.84267574,81.35769391
2011,Utah,4.886162103,4.184536443,34.63980122,16.2957055,4.179008469,16.8506628,81.03587653
2012,Utah,4.903913093,3.900764744,32.7133776,17.27561334,3.620169964,16.44673717,78.86057592
2013,Utah,5.054455216,4.258422782,35.94191068,18.0664053,4.282545532,16.45285444,84.05659396
2014,Utah,5.052062153,4.130499877,35.43078264,17.52389912,3.821029103,16.68918957,82.64746246
2015,Utah,5.01146582,4.085613723,33.87158539,17.21725969,3.63397287,16.63551245,80.45540995
2016,Utah,4.935234291,4.342641454,28.34069479,15.28579785,3.94518907,17.39265062,74.24220808
2017,Utah,4.833538808,4.461577827,28.05630576,14.75965122,4.161073325,17.7278015,73.99994845
2018,Utah,4.771293711,4.501261862,29.21625484,14.10096396,4.232920512,18.50262709,75.32532197
2019,Utah,5.004473415,4.88053811,28.99268976,14.06276307,4.790541192,18.26354956,75.99455511
2020,Utah,4.796510153,4.742117235,27.00898424,13.95772854,4.621685075,17.36462991,72.49165516
2021,Utah,4.801101415,4.803349569,30.5468471,14.37290486,4.567965757,18.55074867,77.64291738
2022,Utah,4.686959642,5.06607435,27.1991361,14.41980162,5.055403084,18.71923416,75.14660896